city,text,sentiment,created_at
"Ottawa, Ontario",@sciencegeist Very birthday to your daughter. Much age.,0,Wed Mar 27 11:03:12 +0000 2019
Canada,This might be a reason why the #Woouf has the best collection for #rawdog #foods that are prepared by #StellaChewys? https://t.co/uAo2gsRv2r,1,Wed Mar 27 11:03:16 +0000 2019
"New York, USA",I agree,0,Wed Mar 27 11:03:19 +0000 2019
"New York, USA",why I?m crying while eating my breakfast,0,Wed Mar 27 11:03:36 +0000 2019
"New York, USA",@mikaelaastel I so enjoyed your performance on the Voice. You have an extraordinary voice that I hope to hear more? https://t.co/YLnkwFHjGy,0,Wed Mar 27 11:03:44 +0000 2019
Canada,LOL i'ma do this to my friend xD BEWARE FRIEND! https://t.co/eWSA5vShnl,1,Wed Mar 27 11:04:12 +0000 2019
"New York, USA",@MCCoyCountyExec @NYSDOCCS @JoyceForAlbany @AlbanyNYLeg @RizzoForAlbany Lucky the residents managed to get wind of? https://t.co/4Un2GJD14A,0,Wed Mar 27 11:04:34 +0000 2019
"New York, USA",@JacyMelillo I like that too,0,Wed Mar 27 11:04:48 +0000 2019
"New York, USA",@JeremyWGR 14-30-7 since 10 game streak and 6-19-3 since break   mind blowing ! Many nhl people had this team in th? https://t.co/nNR8FgnfrA,0,Wed Mar 27 11:05:10 +0000 2019
"Gatineau, Qu?bec",Les Za?rois si ils voient ?a on est foutu seigneur jesus,0,Wed Mar 27 11:05:18 +0000 2019
"New York, USA",@mirandaplzzzzz fuck it might as well fix my chin while I?m there too,1,Wed Mar 27 11:05:47 +0000 2019
"Gatineau, Qu?bec","@Duvidoo @StevenTDennis @LuluLemew In 2020, #Mitch needs to go",0,Wed Mar 27 11:06:18 +0000 2019
"North Stormont, Ontario",Congratulations Justin!,0,Wed Mar 27 11:06:21 +0000 2019
"Ottawa, Ontario","We've got therapist layoffs across the province, for one reason: the government can't tell service providers if/whe? https://t.co/CaeEd8IRoT",1,Wed Mar 27 11:06:27 +0000 2019
"Ottawa, Ontario",Lol.,1,Wed Mar 27 11:06:52 +0000 2019
"New York, USA",Fire.,0,Wed Mar 27 11:06:56 +0000 2019
"New York, USA",Inhumane to stop this program!  Special athletes matter in special ways we will miss without these competitions &amp; o? https://t.co/Wr0Mce3ycl,0,Wed Mar 27 11:06:56 +0000 2019
"Val-des-Monts, Qu?bec","Unifor Local 1688 is correct. The current situation favours UBER at the expense of unionized taxi drivers.
The Otta? https://t.co/5Bj8fgYwX3",0,Wed Mar 27 11:07:04 +0000 2019
"New York, USA","Ice and Tree Sap? Welcome to March in Rochester. #SMDH @ Rochester, New York https://t.co/Cg8sWBRUW6",0,Wed Mar 27 11:07:07 +0000 2019
"New York, USA",Hurdlers and steeplers weight room at 2:45 then head to the track! Sprinters and distance straight to Knox at 3:15!,0,Wed Mar 27 11:07:16 +0000 2019
"New York, USA",He?s a fucking liar!,0,Wed Mar 27 11:07:31 +0000 2019
"Ottawa, Ontario","What is this?

@ImagesSultan @bibzyCarter ?",0,Wed Mar 27 11:07:38 +0000 2019
"Ottawa, Ontario","If @fordnation's government is so ""Open for Business"" as they claim, why don't they *listen* to businesses, instead? https://t.co/hEMx6EaHkM",1,Wed Mar 27 11:07:39 +0000 2019
"New York, USA","PEW: What #news consumers want and say they are/aren't getting. Plug in Rochester, or your city, to see the results? https://t.co/p3rOorBg8G",1,Wed Mar 27 11:07:49 +0000 2019
Canada,"how to have a lovely day ? smile at strangers, slow down, say thank you, give... https://t.co/mypJTlj9PK",0,Wed Mar 27 11:08:03 +0000 2019
"New York, USA",#BarrBrief does not cover the subject. #ReleaseFullMuellerReport,0,Wed Mar 27 11:08:16 +0000 2019
"Ottawa, Ontario",Tonight! Great collection of players!!! https://t.co/eN2mUE6Dnv,0,Wed Mar 27 11:08:57 +0000 2019
"New York, USA",@SHO_Billions @NYSE @DavidLevien @AsiaKateDillon @tobesmoore @KellyAuCoin77 Looking forward to meeting you guys today,1,Wed Mar 27 11:09:18 +0000 2019
"Ottawa, Ontario","@SilkenSoul @VancityReynolds @ItsNotRevenge @mpweigl  rt,rt,rt https://t.co/iCDkcxGd7s",0,Wed Mar 27 11:09:31 +0000 2019
"New York, USA",@MillerStream This smells like a big time political move. Why are the records sealed? Ridiculous!!!. So I guess it?? https://t.co/85APHN9ZPU,0,Wed Mar 27 11:10:01 +0000 2019
"New York, USA",Miss it ???? https://t.co/9lkFVqo2YV,0,Wed Mar 27 11:10:05 +0000 2019
"Ottawa, Ontario",@JohnStantonRR And when you have an amazing ?team? the greater pleasure is actually doing what they say you can ??? https://t.co/h9Nf6zWegu,0,Wed Mar 27 11:10:24 +0000 2019
"Ottawa, Ontario",@cathmckenna @JustinTrudeau #trump #trudeau #ClimateChangeHoax #climatescam #climatechange,0,Wed Mar 27 11:10:26 +0000 2019
"New York, USA",This budget cut is cruel &amp; unusual. MAGA people have wake up &amp; will when they realize all they lose under Trump,0,Wed Mar 27 11:10:54 +0000 2019
"New York, USA",BC Spring Open House - April 24th 4:30-6:30pm. Placement still available for September 2019!? https://t.co/pGtYZHPKLS,0,Wed Mar 27 11:11:05 +0000 2019
"Ottawa, Ontario","#wellnesswednesday   
P A U S E      B R E A T H E     S M I L E      ???? Repeat ????

Connecting with your breath is? https://t.co/SGf0fHQBUB",0,Wed Mar 27 11:11:07 +0000 2019
"New York, USA","@1AlexisArnold - obviously the Red Cross will be helping these folks who lost everything in the fire on Monroe, wil? https://t.co/xR2e6Ca7D0",0,Wed Mar 27 11:11:18 +0000 2019
"New York, USA",@DOPreston Happy Birthday!! Hope you have a fantastic day!,0,Wed Mar 27 11:11:19 +0000 2019
"Ottawa, Ontario","Centre Pierre Harvey &amp; funding issues...
https://t.co/X3uCoLZJxD",0,Wed Mar 27 11:11:34 +0000 2019
"Ontario, Canada",What is a #JussieSmollett? A lying piece of shit that wasted the tax payers money! https://t.co/tPBROdrYy6,1,Wed Mar 27 11:11:34 +0000 2019
Canada,@RickMoffat Got your line &lt; cruel calculus &gt; stuck in my head. Nice word smithing dude ... and no.,1,Wed Mar 27 11:11:36 +0000 2019
"New York, USA","@KarsinXXX @MSNBC @CNNPolitics @cnnbrk I have turned off the TV for my 3rd day, thanks I am strong and I am ready t? https://t.co/Cnr77yQ9C8",0,Wed Mar 27 11:11:52 +0000 2019
"New York, USA",@QueenBbecT @HappyDevil6 Sorry me guys are just pigs,1,Wed Mar 27 11:11:54 +0000 2019
"Ottawa, Ontario","I leave this here, because I get asked a lot what #Namaste means. https://t.co/4cXyDYjLhs",1,Wed Mar 27 11:11:58 +0000 2019
"New York, USA",@joehaden23 Concentrate on football,0,Wed Mar 27 11:12:06 +0000 2019
"Ottawa, Ontario",@StevieVanZandt @PegGall,0,Wed Mar 27 11:12:17 +0000 2019
Canada,The mom whose text game was way better than her daughter's. https://t.co/T6rftmMIeT,0,Wed Mar 27 11:12:32 +0000 2019
"New York, USA",Despicable,0,Wed Mar 27 11:12:42 +0000 2019
"Ottawa, Ontario","@stephden1976 @JohnStantonRR @TrudyLPrice @marg_obrien @S_Brancatelli Well yeah, sometimes like that to ??",1,Wed Mar 27 11:12:42 +0000 2019
"Ottawa, Ontario",Wed 07:00: Partly Cloudy; Temp -9.2 C; Windchill -13; Humidity 84%; Press 103.2 kPa / rising. https://t.co/aPUvZO4tjQ,0,Wed Mar 27 11:12:43 +0000 2019
"New York, USA",Good morning! Halfway through the week already! ??,0,Wed Mar 27 11:12:44 +0000 2019
"New York, USA",#Fact #TheMoreYouKnow #FYI #Science #Physics #LifeHack #StaticIsLikeAnExOverlyClingyAndIrritating? https://t.co/7NaK1nHKco,0,Wed Mar 27 11:12:53 +0000 2019
"New York, USA","#WednesdayWisdom 
#WednesdayMotivation 
#wednesdaythoughts https://t.co/1adQhrdLgb",0,Wed Mar 27 11:13:13 +0000 2019
"New York, USA",@Nate_McMurray you gunna be in Albany today?,0,Wed Mar 27 11:13:17 +0000 2019
"Ottawa, Ontario",Mhen.,0,Wed Mar 27 11:13:26 +0000 2019
"New York, USA","Happy Hump Day #itsGwensday (@ Fineview Bus Stop in Deerfield, NY) https://t.co/gObi4UikXM https://t.co/Z6tHTe168T",0,Wed Mar 27 11:13:43 +0000 2019
"New York, USA",We?re on! @AndreaKihlstedt,0,Wed Mar 27 11:13:52 +0000 2019
"New York, USA",@JJohnson13WHAM @13WHAM @1AlexisArnold - obviously the Red Cross will be helping these folks who lost everything in? https://t.co/0ZSLVLMJng,0,Wed Mar 27 11:14:18 +0000 2019
"New York, USA",Oswego County CiTi BOCES hosts RAP this evening. Doors open at 6:30. A unique opportunity for parents to attend a s? https://t.co/b8OADtyOp1,1,Wed Mar 27 11:14:28 +0000 2019
"Gatineau, Qu?bec",Mdr tout le monde met Le maillot de C?te d?Ivoire aujourd?hui tu peux m?me ps savoir si celui qui porte est ivoirie? https://t.co/hyXCT614eF,0,Wed Mar 27 11:14:36 +0000 2019
"New York, USA",@nytimes Perfect....now this ban needs to be nationwide!,0,Wed Mar 27 11:14:39 +0000 2019
"New York, USA",any female putting her selfies on that naked nigga picture getting reported.,0,Wed Mar 27 11:14:43 +0000 2019
"Ottawa, Ontario",Can anyone recommend a yummy place to pick up fresh Samosas within the downtown Ottawa core?!,0,Wed Mar 27 11:14:48 +0000 2019
"Ottawa, Ontario","Hey im just horny
#misterdiversity #6andahalfinchcock #pornstar #rockstar #ottawaporn #cum #6andahalfinches? https://t.co/hpTUl4TmXM",0,Wed Mar 27 11:14:56 +0000 2019
"New York, USA","On my way out, I bumped into a colleague, who asked where I was going. I said I was headed to the Dean to hear abou? https://t.co/KrSMb0L8CR",1,Wed Mar 27 11:15:18 +0000 2019
"New York, USA",@GStephanopoulos You looked like a total a$$ interviewing Rahm Emanuel. Interrupting him and then telling him we have to go. I mean really.,1,Wed Mar 27 11:15:29 +0000 2019
"New York, USA",@CoalescedChaos I can't wait for the Lady Gaga musical. It needs to happen.,0,Wed Mar 27 11:15:33 +0000 2019
"New York, USA",@WhiteHouse Shit it down!,1,Wed Mar 27 11:15:50 +0000 2019
"Ottawa, Ontario",Special welcome @DrJeanforkids to @ThomasMoreOCSB We look forward to meeting and learning with you during your visi? https://t.co/qErNk8AD3V,0,Wed Mar 27 11:16:11 +0000 2019
"New York, USA",ayo hold up one sec,0,Wed Mar 27 11:16:16 +0000 2019
"Ottawa, Ontario",Looking forward to a ?souper? meal at Stone Soup tonight! We?ll have delicious soups from amazing local restaurants? https://t.co/FZk2qOZ1B8,0,Wed Mar 27 11:17:02 +0000 2019
"New York, USA","I didn't really think that much of it, because it wasn't out of the normal range of conversations with him. What I? https://t.co/qiOLHxDTww",0,Wed Mar 27 11:17:09 +0000 2019
"New York, USA","current weather in Rochester: clear sky, 22?F
73% humidity, wind 3mph, pressure 1032mb",0,Wed Mar 27 11:17:22 +0000 2019
"Ottawa, Ontario","Do you remember when you joined Twitter? I do! #MyTwitterAnniversary actually, I had no idea ?? https://t.co/2tcao5wEDc",0,Wed Mar 27 11:17:44 +0000 2019
"New York, USA",Yeeeey! I just miss few of them! ??,0,Wed Mar 27 11:17:54 +0000 2019
"Ottawa, Ontario",@WeResistHim @ananavarro If I dont get up before the kids and enjoy a coffee and some news in the quiet of solitude? https://t.co/KucTDEdpeK,0,Wed Mar 27 11:17:55 +0000 2019
"New York, USA",@albanyjen #lastdaysofthe2partysystem.,0,Wed Mar 27 11:18:04 +0000 2019
"New York, USA",200 miles!,0,Wed Mar 27 11:18:08 +0000 2019
"New York, USA",Oh my god.,0,Wed Mar 27 11:18:27 +0000 2019
"New York, USA",I'm team #GIF. How do you pronounce it?,0,Wed Mar 27 11:18:43 +0000 2019
"New York, USA",https://t.co/GQef3F8ZBb,0,Wed Mar 27 11:18:58 +0000 2019
"New York, USA",The only people who got called to the Dean's office to learn about the result in person were those who had failed.? https://t.co/Dehy70BDiP,0,Wed Mar 27 11:18:59 +0000 2019
"New York, USA",I'd ask if anyone could explain why Hussein's merry band of terrorists ordered troops to ignore War Crimes &amp; rescue? https://t.co/9sSSUHv62y,0,Wed Mar 27 11:19:15 +0000 2019
"Ottawa, Ontario",@Odala_ @tolutezzy_ ??,0,Wed Mar 27 11:19:21 +0000 2019
"New York, USA",https://t.co/zXvE6S0La5,0,Wed Mar 27 11:19:21 +0000 2019
"New York, USA",Iw? ti ? ba ni ?ru ni il? lo ?ru ? dada ?na l? jo jin ?ru ni il?. S?bi ir? ti a ba ni  l?wo ti o ba bani de il? ohn? https://t.co/NH22zGIouj,0,Wed Mar 27 11:19:25 +0000 2019
"New York, USA",Stay true to your word and you got my respect,1,Wed Mar 27 11:19:28 +0000 2019
Canada,@amijodoin @FloretteRichard @JeanneReinhart @catestake @encarnacion67 @BergerBerge @JosetteJ1 @OHaraHelene? https://t.co/2w7KX6N8M3,0,Wed Mar 27 11:19:33 +0000 2019
"New York, USA",Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/nrBfL7gwAU,1,Wed Mar 27 11:19:34 +0000 2019
"New York, USA",Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/GhJeJMTmk3,1,Wed Mar 27 11:19:35 +0000 2019
"New York, USA",https://t.co/zCA9dRl8Gu,0,Wed Mar 27 11:19:44 +0000 2019
"New York, USA",@IngrahamAngle @BreitbartNews Sick.... this must end now,0,Wed Mar 27 11:19:50 +0000 2019
"New York, USA",@MontezTheMenace nah they just putting they selfies on a naked nigga so when u open it u see some other niggas piece.,0,Wed Mar 27 11:19:59 +0000 2019
"Ottawa, Ontario","@angelicakorbas The redemptive work of Jesus Christ covers all errors, even 'diskexic skips', now go and BE a blessing today! sm+",0,Wed Mar 27 11:20:02 +0000 2019
"New York, USA","@Pauncho_Smith Using this reading based on the song, to Stan would just mean you want to emulate someone or their a? https://t.co/Wl39ubqWlo",0,Wed Mar 27 11:20:06 +0000 2019
"New York, USA",Good morning beautiful #PARAFAMILY feeling like crap this morning; this allergies are killing me ??????,0,Wed Mar 27 11:20:18 +0000 2019
"New York, USA","suburban dads love ""bold"" coffee.",0,Wed Mar 27 11:20:38 +0000 2019
"New York, USA",@VeeCeeMurphy76 @jackjonesbabe Ugh... Dum dums still believe he's a Democrat. https://t.co/fWgkplP8BW,0,Wed Mar 27 11:20:53 +0000 2019
"New York, USA",Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/s1OAhhjknR,1,Wed Mar 27 11:20:58 +0000 2019
"New York, USA","And it turns out, that tradition of only bringing in people who failed was ending THAT YEAR, because as the Dean pu? https://t.co/hS3T2DQp8a",0,Wed Mar 27 11:21:08 +0000 2019
"New York, USA",Construction on #I87Northway Both directions from Exit 13S; US 9 south to Saratoga-Warren County Line https://t.co/Uw3WfWUsYH,1,Wed Mar 27 11:21:10 +0000 2019
"New York, USA","Disabled vehicle, right lane blocked in #AreaOfStatenIslandCrossingsOuterbridgeSi on The Outerbridge Crossing SB ... https://t.co/cLJ9IKsg5n",0,Wed Mar 27 11:21:18 +0000 2019
"New York, USA",My new pin should draw out some of the Old School crowd https://t.co/EV1AgOOXxs,0,Wed Mar 27 11:21:29 +0000 2019
"New York, USA","@NeverThatRobin2 @HeyokaMuse To be sure I understand, this is a *punishment*?",0,Wed Mar 27 11:21:37 +0000 2019
"New York, USA",https://t.co/HA667HK52K,0,Wed Mar 27 11:21:39 +0000 2019
"New York, USA",@SocialPowerOne1 @dyny1bn LOLOL,0,Wed Mar 27 11:21:46 +0000 2019
"New York, USA",@barmore27 @howgreatJr @gatewaypundit Ring leader,0,Wed Mar 27 11:21:50 +0000 2019
"Ottawa, Ontario","Girl I just banged
#misterdiversity #6andahalfinchcock #pornstar #rockstar #ottawaporn #cum #6andahalfinches? https://t.co/MinwRk5zoC",0,Wed Mar 27 11:22:08 +0000 2019
"New York, USA",@ministomp Giant turkey leg,0,Wed Mar 27 11:22:26 +0000 2019
Canada,@EveCatherine_ c'est pour ?a qu'il on ?t? ?lue faire du m?nage dans les d?penses ??,0,Wed Mar 27 11:22:36 +0000 2019
"New York, USA",@AnthonyMagro @ministomp Wtf is a Tim tam,0,Wed Mar 27 11:23:06 +0000 2019
"New York, USA",@marklevinshow Scum bag,0,Wed Mar 27 11:23:21 +0000 2019
"New York, USA","Of course, she hadn't bothered to tell anyone ELSE about this change in policy, so my department colleagues thought? https://t.co/z99HgYDhCg",1,Wed Mar 27 11:23:22 +0000 2019
"Ottawa, Ontario","?My advice to youth: find what you love and who you are early as you can!? Proud of you, Liz ???? #CBCTrailblazers",0,Wed Mar 27 11:23:27 +0000 2019
"Ottawa, Ontario",There you have it. We're subhuman. Face off -- Cyclists not human enough for drivers: study https://t.co/9W1MvqYkeB? https://t.co/obnepR4aYX,0,Wed Mar 27 11:23:28 +0000 2019
"New York, USA",Hey all.  I keep forgetting to do things like this but I just  wrote a piece @story_screen about Think Pieces in ge? https://t.co/rNQxWmyGzs,0,Wed Mar 27 11:23:35 +0000 2019
"New York, USA",@seanhannity @AlecBaldwin LOSER,0,Wed Mar 27 11:23:40 +0000 2019
"Ottawa, Ontario",Bon succ?s ? tous nos ?l?ves du @ecolecatholique et ailleurs en province qui ?crivent aujourd'hui le #tpcl.  @Oqre? https://t.co/6VtYdfSwL7,0,Wed Mar 27 11:23:48 +0000 2019
"New York, USA","#Openwave is ready to Create Complex, Innovative, Creative #Applications with Unlimited Functionality ?? https://t.co/2IMB2CMG1J",0,Wed Mar 27 11:23:59 +0000 2019
"New York, USA",@shazcutest ????????,0,Wed Mar 27 11:24:06 +0000 2019
"New York, USA","Hold 'em tight
You won't have any #WednesdayWisdom https://t.co/OqDvHgnhNu",0,Wed Mar 27 11:24:12 +0000 2019
"New York, USA","And where was Cruz's apology when Obama was President...
https://t.co/M3MFUmg8V9",0,Wed Mar 27 11:24:14 +0000 2019
"New York, USA",No problem @ New York https://t.co/gHDOl7EODE,0,Wed Mar 27 11:24:19 +0000 2019
"New York, USA",@Mell1960 It?s 15 here as well. Spring will show up one day...,0,Wed Mar 27 11:24:27 +0000 2019
"New York, USA","Anyway, the point is, showing up in my office with balloons would've been an AMAZING improvement in the process. (7/7)",0,Wed Mar 27 11:24:31 +0000 2019
"Ottawa, Ontario","@Roidsgg Wait, it taste something else than the tin can?",1,Wed Mar 27 11:24:57 +0000 2019
"New York, USA","@LuckySixes Phew, thank the stars! Would have missed it, I?m sure!",0,Wed Mar 27 11:25:02 +0000 2019
"New York, USA",Listening to @thedemos - so stoked for their hometown show this weekend!!! https://t.co/sPADuydypg https://t.co/CsQOiPwm2p,0,Wed Mar 27 11:25:14 +0000 2019
"New York, USA",@DonaldJTrumpJr When is Daddy going to explain to our military families that they have to continue to live in house? https://t.co/awK5hqF2by,1,Wed Mar 27 11:25:18 +0000 2019
"New York, USA","April is 5 days away, but you?d never know it. #NYwx https://t.co/mwVsWz32j8",0,Wed Mar 27 11:25:18 +0000 2019
"Ottawa, Ontario",Oh my her pussy was tight https://t.co/r1z0jJqg8I,1,Wed Mar 27 11:25:27 +0000 2019
"New York, USA",uk what im glad im not the only one who feels how they feel abot seafood,0,Wed Mar 27 11:25:46 +0000 2019
"Ottawa, Ontario",Example zone,0,Wed Mar 27 11:26:04 +0000 2019
"Ottawa, Ontario",@StuntmanStu @MAJIC100Ottawa @AngiePoirier @janelsteeper A,0,Wed Mar 27 11:26:18 +0000 2019
"New York, USA","This one is easier to tweet than to really live out in my life, but it?s a good reminder for me today- ?I am comfor? https://t.co/4ML08bNzVh",1,Wed Mar 27 11:26:18 +0000 2019
"Ottawa, Ontario",At least ?federal? Ottawa. There are lots of us just getting on with our lives and looking aghast at the goings on? https://t.co/NL2NyBVcEZ,0,Wed Mar 27 11:26:41 +0000 2019
"New York, USA",Everytime i work this early i think about how much i wanna quit,0,Wed Mar 27 11:27:07 +0000 2019
"New York, USA",Usually when I get a #call for an attic #cleaning estimate it?s for #mold but at this #suffolkcounty home they had? https://t.co/Zsu12yYiZu,0,Wed Mar 27 11:27:12 +0000 2019
"Ottawa, Ontario",@kwilli1046 https://t.co/i0hHeJhIrM,0,Wed Mar 27 11:27:12 +0000 2019
"Chelsea, Qu?bec","""When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enj? https://t.co/auMXjqJfCw",0,Wed Mar 27 11:27:19 +0000 2019
"Ottawa, Ontario","Dental hygienist: How often do you floss?
Me: How often do I come here?",0,Wed Mar 27 11:27:21 +0000 2019
"Ottawa, Ontario",@angiecthomas https://t.co/jzNOTKSVh2,0,Wed Mar 27 11:27:34 +0000 2019
"New York, USA",Construction on #CrossBayBridge SB at Rockaway Bound https://t.co/gDROAuLXXQ,0,Wed Mar 27 11:27:34 +0000 2019
"New York, USA",Construction on #CrossBayBridge SB at Rockaway Bound https://t.co/ALNWFV0ywC,0,Wed Mar 27 11:27:40 +0000 2019
"Ottawa, Ontario",@K7Akito ??????,0,Wed Mar 27 11:27:51 +0000 2019
"New York, USA","@robertoblake I totally believe it. Personally, I am about 50/50. My Audience, on the other hand, is flipped. Altho? https://t.co/d1ClXSTVzm",0,Wed Mar 27 11:27:57 +0000 2019
"Ottawa, Ontario",@Liquid_hsdog @Savjz @LiquidSjow Why so savjz,0,Wed Mar 27 11:28:32 +0000 2019
"Ottawa, Ontario",When you check Instagram stories in the morning and see someone or a brand with ?dots? https://t.co/2wl3iU8rij,0,Wed Mar 27 11:28:43 +0000 2019
"Ottawa, Ontario",@StuntmanStu @MAJIC100Ottawa @AngiePoirier @janelsteeper B - if my kids leave them any other way... I rearrange them to B ??,1,Wed Mar 27 11:28:54 +0000 2019
"Ottawa, Ontario",@missfish I bought cauliflower on Sunday because ?oh wow!! It?s only $2.99!? Which is nuts,1,Wed Mar 27 11:29:12 +0000 2019
"Ottawa, Ontario",How will @fordnation increase the OAP from $321 million to $600M? My best guess here: it'll likely be through progr? https://t.co/HiSTOFAFKq,0,Wed Mar 27 11:29:13 +0000 2019
"New York, USA","Hanging ?? 
Balancing ?? 
Throwing/catching ??
??
Humans have always been pretty good at these things, in addition t? https://t.co/OONwbasFOC",0,Wed Mar 27 11:29:14 +0000 2019
"New York, USA",@KrockCodyMack @krockjosh @Hannaford in Utica area sell bread bowls and they actually are pretty decent.,0,Wed Mar 27 11:29:33 +0000 2019
"New York, USA","Incident cleared in #AreaOfStatenIslandCrossingsOuterbridgeSi on The Outerbridge Crossing SB at Mid-Span, stop an... https://t.co/cLJ9IKsg5n",0,Wed Mar 27 11:29:34 +0000 2019
"Ottawa, Ontario",Good luck to all of our students writing the literacy test today. Try to relax and do your best! #ocsb,0,Wed Mar 27 11:29:43 +0000 2019
"New York, USA",wolverine top tier imo,0,Wed Mar 27 11:30:07 +0000 2019
"Gatineau, Qu?bec",@Steffykb Ah ?a y?est KFC est en Belgique mtn ?,0,Wed Mar 27 11:30:37 +0000 2019
"Ottawa, Ontario","""Unto thee, O God, do we give thanks, unto thee do we give thanks: for that thy name is near thy wondrous works dec? https://t.co/U2RCirLQtF",0,Wed Mar 27 11:31:10 +0000 2019
"Gatineau, Qu?bec",@Steffykb Ptdrrrrrrrrr rooooooh mais quel bail votre pays veut pas ?voluer,0,Wed Mar 27 11:31:50 +0000 2019
"New York, USA",Construction on #US219 Both directions from START ROUTE US 219; Pennsylvania State Line to Town of Carrollton;...https://t.co/2WMH75rdPX,0,Wed Mar 27 11:31:52 +0000 2019
"Ottawa, Ontario",I find it hilarious how the zionist media shares these cute little anecdotes to humanize Palestinians only when the? https://t.co/Hd5ix9TZ0j,1,Wed Mar 27 11:31:53 +0000 2019
"New York, USA",Construction on #NY262 EB at Fisher Rd https://t.co/CrxCr7XP3M,0,Wed Mar 27 11:31:54 +0000 2019
"New York, USA",Construction on #I90BerkshireConnector WB from After Exit B1 - Hudson - Rensselaer (US9 - I-90W) to After Exit B1...https://t.co/cn4R6BBJv5,0,Wed Mar 27 11:31:54 +0000 2019
"New York, USA",Construction on #US219 Both directions from START ROUTE US 219; Pennsylvania State Line to Town of Carrollton;...https://t.co/y1Mfg3I7LK,0,Wed Mar 27 11:31:54 +0000 2019
